A,0,500
A,1,500
B,2,500
A,3,500
J,4,500
A,5,500
A,6,500
A,7,500
A,8,500
A,9,500
A,10,500
A,11,500
A,12,500
A,13,500
B,14,500
A,15,500
A,16,500
A,17,500
B,18,500
A,19,500
A,20,500
A,21,500
B,22,500
E,23,500
A,24,500
A,25,500
OH,26,500
F,27,500
F,28,500
C,29,500
A,30,500
E,31,500
C,32,500
A,33,500
A,34,500
H,35,500
G,36,500
F,37,500
A,38,500
A,39,500
A,40,500
A,41,500
A,42,500
A,43,500
E,44,500
A,45,500
A,46,500
CI,47,500
D,48,500
A,49,500
A,50,500
A,51,500
B,52,500
C,53,500
A,54,500
A,55,500
A,56,500
A,57,500
A,58,500
D,59,500
B,60,500
A,61,500
A,62,500
A,63,500
A,64,500
A,65,500
A,66,500
C,67,500
C,68,500
A,69,500
C,70,500
H,71,500
A,72,500
C,73,500
B,74,500
A,75,500
AZ,76,500
B,77,500
A,78,500
A,79,500
A,80,500
A,81,500
A,82,500
A,83,500
B,84,500
A,85,500
B,86,500
E,87,500
A,88,500
A,89,500
A,90,500
B,91,500
A,92,500
A,93,500
A,94,500
B,95,500
A,96,500
A,97,500
A,98,500
B,99,500
B,100,500
A,101,500
C,102,500
B,103,500
A,104,500
A,105,500
A,106,500
B,107,500
A,108,500
A,109,500
A,110,500
A,111,500
A,112,500
D,113,500
A,114,500
C,115,500
A,116,500
A,117,500
A,118,500
B,119,500
AR,120,500
A,121,500
A,122,500
B,123,500
A,124,500
B,125,500
E,126,500
B,127,500
B,128,500
B,129,500
D,130,500
A,131,500
A,132,500
H,133,500
A,134,500
B,135,500
A,136,500
A,137,500
B,138,500
A,139,500
E,140,500
A,141,500
B,142,500
C,143,500
B,144,500
A,145,500
B,146,500
A,147,500
A,148,500
C,149,500
C,150,500
B,151,500
A,152,500
A,153,500
A,154,500
A,155,500
H,156,500
A,157,500
B,158,500
C,159,500
A,160,500
A,161,500
B,162,500
A,163,500
A,164,500
B,165,500
B,166,500
E,167,500
B,168,500
